time,Latitude,Longitude,Speed (m/s)
11.134244,0,0,0
11.144284,55.75195062,48.74360398,1.26999998
11.145273,55.75195062,48.74360398,1.26999998
11.171435,55.75195062,48.74360398,1.26999998
11.173196,55.75195062,48.74360398,1.26999998
11.181458,55.75195062,48.74360398,1.26999998
11.182002,55.75195062,48.74360398,1.26999998
11.18235,55.75195062,48.74360398,1.26999998
11.182685,55.75195062,48.74360398,1.26999998
11.183399,55.75195062,48.74360398,1.26999998
11.243787,55.75195062,48.74360398,1.26999998
11.244819,55.75195062,48.74360398,1.26999998
11.245819,55.75195062,48.74360398,1.26999998
11.249847,55.75195062,48.74360398,1.26999998
11.251282,55.75195062,48.74360398,1.26999998
11.299766,55.75195062,48.74360398,1.26999998
11.300435,55.75194118,48.74360821,1.25
11.301179,55.75194118,48.74360821,1.25
11.325603,55.75194118,48.74360821,1.25
11.326558,55.75194118,48.74360821,1.25
11.360715,55.75194118,48.74360821,1.25
11.361748,55.75194118,48.74360821,1.25
11.362716,55.75194118,48.74360821,1.25
11.403429,55.75194118,48.74360821,1.25
11.405267,55.75194118,48.74360821,1.25
11.41859,55.75194118,48.74360821,1.25
11.419609,55.75194118,48.74360821,1.25
11.420535,55.75194118,48.74360821,1.25
11.441414,55.75194118,48.74360821,1.25
11.443709,55.75194118,48.74360821,1.25
11.47848,55.75194118,48.74360821,1.25
11.479891,55.75194118,48.74360821,1.25
11.480703,55.75194118,48.74360821,1.25
11.518349,55.75194118,48.74360821,1.25
11.519626,55.75194118,48.74360821,1.25
11.536307,55.75194118,48.74360821,1.25
11.53729,55.75194118,48.74360821,1.25
11.537911,55.75194118,48.74360821,1.25
11.596353,55.75194118,48.74360821,1.25
11.597676,55.75194118,48.74360821,1.25
11.598534,55.75194118,48.74360821,1.25
11.599289,55.75194118,48.74360821,1.25
11.600607,55.75194118,48.74360821,1.25
11.655451,55.75194118,48.74360821,1.25
11.656911,55.75194118,48.74360821,1.25
11.657771,55.75194118,48.74360821,1.25
11.6751,55.75194118,48.74360821,1.25
11.677408,55.75194118,48.74360821,1.25
11.710834,55.75194118,48.74360821,1.25
11.711894,55.75194118,48.74360821,1.25
11.712772,55.75194118,48.74360821,1.25
11.7134,55.75194118,48.74360821,1.25
11.713976,55.75194118,48.74360821,1.25
11.772054,55.75194118,48.74360821,1.25
11.773162,55.75194118,48.74360821,1.25
11.774024,55.75194118,48.74360821,1.25
11.787907,55.75194118,48.74360821,1.25
11.788831,55.75194118,48.74360821,1.25
11.83127,55.75194118,48.74360821,1.25
11.832874,55.75194118,48.74360821,1.25
11.833853,55.75194118,48.74360821,1.25
11.864956,55.75194118,48.74360821,1.25
11.867121,55.75194118,48.74360821,1.25
11.890633,55.75194118,48.74360821,1.25
11.891916,55.75194118,48.74360821,1.25
11.892904,55.75194118,48.74360821,1.25
11.903879,55.75194118,48.74360821,1.25
11.905499,55.75194118,48.74360821,1.25
11.948269,55.75194118,48.74360821,1.25
11.949765,55.75194118,48.74360821,1.25
11.950452,55.75194118,48.74360821,1.25
11.980091,55.75194118,48.74360821,1.25
11.981969,55.75194118,48.74360821,1.25
12.008025,55.75194118,48.74360821,1.25
12.009917,55.75194118,48.74360821,1.25
12.011007,55.75194118,48.74360821,1.25
12.056911,55.75194118,48.74360821,1.25
12.0582,55.75194118,48.74360821,1.25
12.066964,55.75194118,48.74360821,1.25
12.067803,55.75194118,48.74360821,1.25
12.068456,55.75194118,48.74360821,1.25
12.125453,55.75194118,48.74360821,1.25
12.126967,55.75194118,48.74360821,1.25
12.127921,55.75194118,48.74360821,1.25
12.135039,55.75194118,48.74360821,1.25
12.13623,55.75194118,48.74360821,1.25
12.171293,55.75194118,48.74360821,1.25
12.172156,55.75194118,48.74360821,1.25
12.184697,55.75194118,48.74360821,1.25
12.185396,55.75194118,48.74360821,1.25
12.185733,55.75194118,48.74360821,1.25
12.245473,55.75194118,48.74360821,1.25
12.246178,55.75194118,48.74360821,1.25
12.246467,55.75194118,48.74360821,1.25
12.249178,55.75194118,48.74360821,1.25
12.249949,55.75194118,48.74360821,1.25
12.303482,55.75194118,48.74360821,1.25
12.304879,55.75193125,48.74361103,1.25
12.306159,55.75193125,48.74361103,1.25
12.32705,55.75193125,48.74361103,1.25
12.329507,55.75193125,48.74361103,1.25
12.361433,55.75193125,48.74361103,1.25
12.362863,55.75193125,48.74361103,1.25
12.363675,55.75193125,48.74361103,1.25
12.403334,55.75193125,48.74361103,1.25
12.405571,55.75193125,48.74361103,1.25
12.420687,55.75193125,48.74361103,1.25
12.421623,55.75193125,48.74361103,1.25
12.42218,55.75193125,48.74361103,1.25
12.440365,55.75193125,48.74361103,1.25
12.442575,55.75193125,48.74361103,1.25
12.479617,55.75193125,48.74361103,1.25
12.481428,55.75193125,48.74361103,1.25
12.482426,55.75193125,48.74361103,1.25
12.518713,55.75193125,48.74361103,1.25
12.519887,55.75193125,48.74361103,1.25
12.539063,55.75193125,48.74361103,1.25
12.540564,55.75193125,48.74361103,1.25
12.541549,55.75193125,48.74361103,1.25
12.595405,55.75193125,48.74361103,1.25
12.596545,55.75193125,48.74361103,1.25
12.597978,55.75193125,48.74361103,1.25
12.598657,55.75193125,48.74361103,1.25
12.599311,55.75193125,48.74361103,1.25
12.65658,55.75193125,48.74361103,1.25
12.657949,55.75193125,48.74361103,1.25
12.658851,55.75193125,48.74361103,1.25
12.672055,55.75193125,48.74361103,1.25
12.673601,55.75193125,48.74361103,1.25
12.708869,55.75193125,48.74361103,1.25
12.710173,55.75193125,48.74361103,1.25
12.715709,55.75193125,48.74361103,1.25
12.71677,55.75193125,48.74361103,1.25
12.717472,55.75193125,48.74361103,1.25
12.774559,55.75193125,48.74361103,1.25
12.775817,55.75193125,48.74361103,1.25
12.776508,55.75193125,48.74361103,1.25
12.787371,55.75193125,48.74361103,1.25
12.788884,55.75193125,48.74361103,1.25
12.833765,55.75193125,48.74361103,1.25
12.835056,55.75193125,48.74361103,1.25
12.835719,55.75193125,48.74361103,1.25
12.863753,55.75193125,48.74361103,1.25
12.865236,55.75193125,48.74361103,1.25
12.891552,55.75193125,48.74361103,1.25
12.89265,55.75193125,48.74361103,1.25
12.893885,55.75193125,48.74361103,1.25
12.941347,55.75193125,48.74361103,1.25
12.943399,55.75193125,48.74361103,1.25
12.951599,55.75193125,48.74361103,1.25
12.952996,55.75193125,48.74361103,1.25
12.954076,55.75193125,48.74361103,1.25
12.979405,55.75193125,48.74361103,1.25
12.981029,55.75193125,48.74361103,1.25
13.012436,55.75193125,48.74361103,1.25
13.013526,55.75193125,48.74361103,1.25
13.01394,55.75193125,48.74361103,1.25
13.056711,55.75193125,48.74361103,1.25
13.057897,55.75193125,48.74361103,1.25
13.069058,55.75193125,48.74361103,1.25
13.070013,55.75193125,48.74361103,1.25
13.070842,55.75193125,48.74361103,1.25
13.127483,55.75193125,48.74361103,1.25
13.128428,55.75193125,48.74361103,1.25
13.128824,55.75193125,48.74361103,1.25
13.132729,55.75193125,48.74361103,1.25
13.134411,55.75193125,48.74361103,1.25
13.187613,55.75193125,48.74361103,1.25
13.188968,55.75193125,48.74361103,1.25
13.189774,55.75193125,48.74361103,1.25
13.210761,55.75193125,48.74361103,1.25
13.212335,55.75193125,48.74361103,1.25
13.247777,55.75193125,48.74361103,1.25
13.249276,55.75193125,48.74361103,1.25
13.250295,55.75193125,48.74361103,1.25
13.253309,55.75193125,48.74361103,1.25
13.255651,55.75193125,48.74361103,1.25
13.305681,55.75193125,48.74361103,1.25
13.307068,55.75192179,48.74360658,1.21000004
13.308236,55.75192179,48.74360658,1.21000004
13.326373,55.75192179,48.74360658,1.21000004
13.32799,55.75192179,48.74360658,1.21000004
13.365215,55.75192179,48.74360658,1.21000004
13.366725,55.75192179,48.74360658,1.21000004
13.367671,55.75192179,48.74360658,1.21000004
13.402471,55.75192179,48.74360658,1.21000004
13.40425,55.75192179,48.74360658,1.21000004
13.423615,55.75192179,48.74360658,1.21000004
13.425089,55.75192179,48.74360658,1.21000004
13.426138,55.75192179,48.74360658,1.21000004
13.479936,55.75192179,48.74360658,1.21000004
13.482092,55.75192179,48.74360658,1.21000004
13.482818,55.75192179,48.74360658,1.21000004
13.483729,55.75192179,48.74360658,1.21000004
13.484408,55.75192179,48.74360658,1.21000004
13.517777,55.75192179,48.74360658,1.21000004
13.520003,55.75192179,48.74360658,1.21000004
13.540961,55.75192179,48.74360658,1.21000004
13.542379,55.75192179,48.74360658,1.21000004
13.543363,55.75192179,48.74360658,1.21000004
13.595087,55.75192179,48.74360658,1.21000004
13.597113,55.75192179,48.74360658,1.21000004
13.59983,55.75192179,48.74360658,1.21000004
13.600673,55.75192179,48.74360658,1.21000004
13.601315,55.75192179,48.74360658,1.21000004
13.658784,55.75192179,48.74360658,1.21000004
13.660429,55.75192179,48.74360658,1.21000004
13.661313,55.75192179,48.74360658,1.21000004
13.672109,55.75192179,48.74360658,1.21000004
13.673706,55.75192179,48.74360658,1.21000004
13.718475,55.75192179,48.74360658,1.21000004
13.719804,55.75192179,48.74360658,1.21000004
13.720525,55.75192179,48.74360658,1.21000004
13.749204,55.75192179,48.74360658,1.21000004
13.751259,55.75192179,48.74360658,1.21000004
13.77751,55.75192179,48.74360658,1.21000004
13.778428,55.75192179,48.74360658,1.21000004
13.778802,55.75192179,48.74360658,1.21000004
13.78757,55.75192179,48.74360658,1.21000004
13.788448,55.75192179,48.74360658,1.21000004
13.836017,55.75192179,48.74360658,1.21000004
13.836846,55.75192179,48.74360658,1.21000004
13.837229,55.75192179,48.74360658,1.21000004
13.864947,55.75192179,48.74360658,1.21000004
13.866593,55.75192179,48.74360658,1.21000004
13.895596,55.75192179,48.74360658,1.21000004
13.897076,55.75192179,48.74360658,1.21000004
13.897974,55.75192179,48.74360658,1.21000004
13.940766,55.75192179,48.74360658,1.21000004
13.94286,55.75192179,48.74360658,1.21000004
13.954421,55.75192179,48.74360658,1.21000004
13.955625,55.75192179,48.74360658,1.21000004
13.956229,55.75192179,48.74360658,1.21000004
14.012758,55.75192179,48.74360658,1.21000004
14.013905,55.75192179,48.74360658,1.21000004
14.014276,55.75192179,48.74360658,1.21000004
14.017404,55.75192179,48.74360658,1.21000004
14.018293,55.75192179,48.74360658,1.21000004
14.056696,55.75192179,48.74360658,1.21000004
14.058188,55.75192179,48.74360658,1.21000004
14.071821,55.75192179,48.74360658,1.21000004
14.07338,55.75192179,48.74360658,1.21000004
14.07426,55.75192179,48.74360658,1.21000004
14.130427,55.75192179,48.74360658,1.21000004
14.131826,55.75192179,48.74360658,1.21000004
14.132713,55.75192179,48.74360658,1.21000004
14.13383,55.75192179,48.74360658,1.21000004
14.135235,55.75192179,48.74360658,1.21000004
14.189921,55.75192179,48.74360658,1.21000004
14.19124,55.75192179,48.74360658,1.21000004
14.193365,55.75192179,48.74360658,1.21000004
14.210743,55.75192179,48.74360658,1.21000004
14.212386,55.75192179,48.74360658,1.21000004
14.250432,55.75192179,48.74360658,1.21000004
14.252107,55.75192179,48.74360658,1.21000004
14.253318,55.75192179,48.74360658,1.21000004
14.285892,55.75192179,48.74360658,1.21000004
14.287072,55.75191203,48.74359808,1.20000005
14.307029,55.75191203,48.74359808,1.20000005
14.307871,55.75191203,48.74359808,1.20000005
14.308437,55.75191203,48.74359808,1.20000005
14.325425,55.75191203,48.74359808,1.20000005
14.32652,55.75191203,48.74359808,1.20000005
14.366383,55.75191203,48.74359808,1.20000005
14.367739,55.75191203,48.74359808,1.20000005
14.368515,55.75191203,48.74359808,1.20000005
14.402426,55.75191203,48.74359808,1.20000005
14.404653,55.75191203,48.74359808,1.20000005
14.425484,55.75191203,48.74359808,1.20000005
14.426828,55.75191203,48.74359808,1.20000005
14.427711,55.75191203,48.74359808,1.20000005
14.4797,55.75191203,48.74359808,1.20000005
14.481723,55.75191203,48.74359808,1.20000005
14.484427,55.75191203,48.74359808,1.20000005
14.485301,55.75191203,48.74359808,1.20000005
14.485956,55.75191203,48.74359808,1.20000005
14.543647,55.75191203,48.74359808,1.20000005
14.544495,55.75191203,48.74359808,1.20000005
14.544952,55.75191203,48.74359808,1.20000005
14.55538,55.75191203,48.74359808,1.20000005
14.555972,55.75191203,48.74359808,1.20000005
14.593646,55.75191203,48.74359808,1.20000005
14.594455,55.75191203,48.74359808,1.20000005
14.601199,55.75191203,48.74359808,1.20000005
14.601714,55.75191203,48.74359808,1.20000005
14.601968,55.75191203,48.74359808,1.20000005
14.660176,55.75191203,48.74359808,1.20000005
14.660762,55.75191203,48.74359808,1.20000005
14.661034,55.75191203,48.74359808,1.20000005
14.67691,55.75191203,48.74359808,1.20000005
14.677501,55.75191203,48.74359808,1.20000005
14.719375,55.75191203,48.74359808,1.20000005
14.720091,55.75191203,48.74359808,1.20000005
14.720424,55.75191203,48.74359808,1.20000005
14.747379,55.75191203,48.74359808,1.20000005
14.749039,55.75191203,48.74359808,1.20000005
14.777669,55.75191203,48.74359808,1.20000005
14.778295,55.75191203,48.74359808,1.20000005
14.778613,55.75191203,48.74359808,1.20000005
14.82438,55.75191203,48.74359808,1.20000005
14.825424,55.75191203,48.74359808,1.20000005
14.836606,55.75191203,48.74359808,1.20000005
14.837182,55.75191203,48.74359808,1.20000005
14.837454,55.75191203,48.74359808,1.20000005
14.863885,55.75191203,48.74359808,1.20000005
14.866024,55.75191203,48.74359808,1.20000005
14.896043,55.75191203,48.74359808,1.20000005
14.8972,55.75191203,48.74359808,1.20000005
14.897627,55.75191203,48.74359808,1.20000005
14.941149,55.75191203,48.74359808,1.20000005
14.942903,55.75191203,48.74359808,1.20000005
14.955525,55.75191203,48.74359808,1.20000005
14.956732,55.75191203,48.74359808,1.20000005
14.957489,55.75191203,48.74359808,1.20000005
15.015015,55.75191203,48.74359808,1.20000005
15.016934,55.75191203,48.74359808,1.20000005
15.017908,55.75191203,48.74359808,1.20000005
15.018822,55.75191203,48.74359808,1.20000005
15.019666,55.75191203,48.74359808,1.20000005
15.07295,55.75191203,48.74359808,1.20000005
15.074422,55.75191203,48.74359808,1.20000005
15.075121,55.75191203,48.74359808,1.20000005
15.094793,55.75191203,48.74359808,1.20000005
15.096392,55.75191203,48.74359808,1.20000005
15.132527,55.75191203,48.74359808,1.20000005
15.135501,55.75191203,48.74359808,1.20000005
15.136014,55.75191203,48.74359808,1.20000005
15.136719,55.75191203,48.74359808,1.20000005
15.13794,55.75191203,48.74359808,1.20000005
15.190522,55.75191203,48.74359808,1.20000005
15.191509,55.75191203,48.74359808,1.20000005
15.192099,55.75191203,48.74359808,1.20000005
15.269694,55.75191203,48.74359808,1.20000005
15.270303,55.75191203,48.74359808,1.20000005
15.270807,55.75191203,48.74359808,1.20000005
15.271055,55.75191203,48.74359808,1.20000005
15.271308,55.75191203,48.74359808,1.20000005
15.28952,55.75191203,48.74359808,1.20000005
15.290313,55.75190135,48.7435904,1.20000005
15.338851,55.75190135,48.7435904,1.20000005
15.339409,55.75190135,48.7435904,1.20000005
15.339909,55.75190135,48.7435904,1.20000005